"Code","Name","Address","zip","Phone","Url","reservations y/n","order online y/n","Buy Tickets y/n","discnt coupon y/n","Maps y/n","verified"
"103","4 Seasons Racquet & Country Club","251 Racquet & Country Club Dr",65049,(573) 541-4905,"www.racquetandcountryclub.com/","n","n","n","n","n","n"
"105","4 Seasons Racquet & Country Club","251 Racquet & Country Club Dr",65049,(573) 541-4905,"www.racquetandcountryclub.com/","n","n","n","n","n","n"
"110","4 Seasons Racquet & Country Club","251 Racquet & Country Club Dr",65049,(573) 541-4905,"www.racquetandcountryclub.com/","n","n","n","n","n","n"
"612","5-65 Marina","671 Marina Rd",65020,(573) 873-5333,,"n","n","n","n","n","n"
"105","A & J Motel","814 W US Highway 54",65020,(573) 346-5777,,"n","n","n","n","n","n"
"612","Adventure Boat Rentals","30703 Rustic Rd",65072,(573) 964-1999,"www.adventureboatrentals.com","n","n","n","n","n","n"
"710","Adventure Boat Rentals","30703 Rustic Rd",65072,(573) 964-1999,"www.adventureboatrentals.com","n","n","n","n","n","n"
"802","Air Lake Aviation","957 Airport Rd",65065,(573) 348-1008,"www.airlakeaviation.com/index.html","n","n","n","n","n","n"
"203","Alberdini's Pizzaria","8758 N Mo-5",65020,(573) 873-0111,,"n","n","n","n","n","n"
"203 ","Alhonna Bobbers Restaurant","677 Outer Dr",65049,(573) 365-2634,"www.alhonna.com/","n","n","n","n","n","n"
"105","Alhonna Resort & Marina","665 Outer Dr",65049,(573) 365-2634,"www.alhonna.com/","n","n","n","n","n","n"
"110","Alhonna Resort & Marina","665 Outer Dr",65049,(573) 365-2634,"www.alhonna.com/","n","n","n","n","n","n"
"612","Alhonna Resort & Marina","665 Outer Dr",65049,(573) 365-2634,"www.alhonna.com/","n","n","n","n","n","n"
"710","Alhonna Resort & Marina","665 Outer Dr",65049,(573) 365-2634,"www.alhonna.com/","n","n","n","n","n","n"
"203","Alley Cats Pizzeria & Pub","1255 Bagnell Dam Blvd",65049,(573) 964-5559,,"n","n","n","n","n","n"
"301","Alley Cats Pizzeria & Pub","1255 Bagnell Dam Blvd",65049,(573) 964-5559,,"n","n","n","n","n","n"
"710","Aloha Boat Rentals","21 McDonald Dr",65079,(573) 374-1350,,"n","n","n","n","n","n"
"710","Aloha Waverunner Rentals","847 Red Oak Ln",65079,(573) 374-5442,,"n","n","n","n","n","n"
"107","American Legion Campground","38 Legion Rd",65049,(573) 365-5118,,"n","n","n","n","n","n"
"203","Ancel & Eddy's Pizza","383 Highway P",65026,(573) 365-9122,,"n","n","n","n","n","n"
"107","Anchor Marine & Camping","10 Restful Lane",65049,(573) 365-2654,,"n","n","n","n","n","n"
"612","Anchor Marine & Camping","10 Restful Lane",65049,(573) 365-2654,,"n","n","n","n","n","n"
"202","Andre's At the Lake","1622 Horseshoe Bend Pkwy",65049,(573) 365-2800,"www.andreslakeoz.com","n","n","n","n","n","n"
"203","Andy's Hickory Pit Barbeque","105 Bunker Rd",65026,(573) 392-4099,,"n","n","n","n","n","n"
"203","Angie's Dairy Queen","717 E Jefferson Ave",65556,(573) 765-3263,,"n","n","n","n","n","n"
"203","Applebee's Neighborhood Grill","4040 Highway 54",65065,(573) 348-9595,,"n","n","n","n","n","n"
"612","Aqua Moon Marina and Boat Works Inc","17 Aschoff Rd",65026,(573) 365-0781,,"n","n","n","n","n","n"
"110","Aqua-Fin Resort","1190 Bittersweet Rd",65049,(573) 365-2605,,"n","n","n","n","n","n"
"203","Arris Pizza & Pub","3924 Jr Prewitt Pkwy",65065,(573) 348-2288,,"n","n","n","n","n","n"
"301","Arris Pizza & Pub","3924 Jr Prewitt Pkwy",65065,(573) 348-2288,,"n","n","n","n","n","n"
"203","Asian Cuisine","5203 Highway 54",65065,(573) 302-0088,,"n","n","n","n","n","n"
"203","B & B Drive-In","612 W Newton St",65084,(573) 378-6470,,"n","n","n","n","n","n"
"203","B & P Hickory Pit","314 State Road F",65079,(573) 374-4545,"http://www.bandphickorypit.com/","n","n","n","n","n","n"
"301","B & P Hickory Pit","314 State Road F",65079,(573) 374-4545,"http://www.bandphickorypit.com/","n","n","n","n","n","n"
"203","Backwater Jacks Bar & Grill","4341 Beach Dr",65065,(573) 348-6639,"http://www.bwjacks.com/","n","n","n","n","n","n"
"301","Backwater Jacks Bar & Grill","4341 Beach Dr",65065,(573) 348-6639,"http://www.bwjacks.com/","n","n","n","n","n","n"
"203","Bait & Bagel Marina","39 Knox Rd",65072,(573) 964-0510,"www.baitandbagel.com/","n","n","n","n","n","n"
"301","Bait & Bagel Marina","39 Knox Rd",65072,(573) 964-0510,"http://www.baitandbagel.com/","n","n","n","n","n","n"
"612","Bait & Bagel Marina","39 Knox Rd",65072,(573) 964-0510,"http://www.baitandbagel.com/","n","n","n","n","n","n"
"710","Bait & Bagel Marina","39 Knox Rd",65072,(573) 964-0510,"http://www.baitandbagel.com/","n","n","n","n","n","n"
"203","Bambooze Bar & Grill","30 Oasis Cir",65079,(573) 374-4790,,"n","n","n","n","n","n"
"301","Bambooze Bar & Grill","30 Oasis Cir",65079,(573) 374-4790,,"n","n","n","n","n","n"
"203","Bandana's Bar-B-Q","4315 Highway 54",65065,(573) 302-4500,,"n","n","n","n","n","n"
"612","Barnes Marine Service","415 Highway 42",65047,(573) 348-3441,,"n","n","n","n","n","n"
"102","Bass & Baskets Bed & Breakfast","1117 Dogwood Rd",65049,(573) 964-5028,"www.bassandbaskets.com/","n","n","n","n","n","n"
"103","Bass Point Resort","33510 Bass Point Rd",65037,(573) 374-5205,"www.basspoint.com/","n","n","n","n","n","n"
"110","Bass Point Resort","33510 Bass Point Rd",65037,(573) 374-5205,"http://www.basspoint.com/","n","n","n","n","n","n"
"203","Baxter's Lakeside Grill","2124 Bagnell Bad Blvd",65049,(573) 365-2669,,"n","n","n","n","n","n"
"110","Bay Ridge Resort","141 Bay Ridge Rd",65079,(573) 374-5320,,"n","n","n","n","n","n"
"103","Bay Ridge Resort","141 Bay Ridge Rd",65079,(573) 374-5320,,"n","n","n","n","n","n"
"607","Bay View Golf Course","364 Sylvan Bay Dr",65052,(573) 346-6617,,"n","n","n","n","n","n"
"105","Baymont Inn","3501 Bagnell Dam Blvd",65049,(573) 365-2700,"www.baymontinns.com/Baymont/control/home","n","n","n","n","n","n"
"110","Baymont Inn","3501 Bagnell Dam Blvd",65049,(573) 365-2700,"http://www.baymontinns.com/Baymont/control/home","n","n","n","n","n","n"
"611","Baywatch Parasail","5020 W Hwy 54",65049,(573) 365-9595,,"n","n","n","n","n","n"
"110","Beachcomber Resort","300 Thornsberry Rd",65049,(573) 365-2359,,"n","n","n","n","n","n"
"110","Beachwoods Resort & Marina","29626 Coffman Beach Rd",65072,(573) 365-0320,,"n","n","n","n","n","n"
"612","Beachwoods Resort & Marina","29626 Coffman Beach Rd",65072,(573) 365-0320,,"n","n","n","n","n","n"
"203","Bear Creek Valley","910 E Highway 42",65065,(573) 302-1000,"http://bearcreekvalley.com/","n","n","n","n","n","n"
"301","Bear Creek Valley","910 E Highway 42",65065,(573) 302-1000,"http://bearcreekvalley.com/","n","n","n","n","n","n"
"607","Bear Creek Valley","910 E Highway 42",65065,(573) 302-1000,"http://bearcreekvalley.com/","n","n","n","n","n","n"
"609","Bear Creek Valley","910 E Highway 42",65065,(573) 302-1000,"http://bearcreekvalley.com/","n","n","n","n","n","n"
"110","Bed & Biscuit Resort","435 Highway W",65049,(573) 365-7807,,"n","n","n","n","n","n"
"203","Bentley's Restaurant","3100 Bagnell Dam Blvd",65049,(573) 365-5301,"www.bentleysrestaurantmo.com","n","n","n","n","n","n"
"612","Bergers Marina","159 Hidden Acres Ct",65049,(573) 365-2337,,"n","n","n","n","n","n"
"105","Best Western Dogwood Hills Resort Inn","1252 State Highway KK",65065,(877) 574-2464,"www.bestwestern.com","n","n","n","n","n","n"
"103","Big Bear Resort","133 Polar Bear Cir",65049,(573) 365-2115,,"n","n","n","n","n","n"
"105","Big Bear Resort","133 Polar Bear Cir",65049,(573) 365-2115,,"n","n","n","n","n","n"
"110","Big Bear Resort","133 Polar Bear Cir",65049,(573) 365-2115,,"n","n","n","n","n","n"
"105","Big Dick's Halfway Inn","1038 Cup Tree Rd",65037,(573) 374-1919,"www.bigdickshalfwayinn.com","n","n","n","n","n","n"
"110","Big Dick's Halfway Inn","1038 Cup Tree Rd",65037,(573) 374-1919,"www.bigdickshalfwayinn.com","n","n","n","n","n","n"
"203","Big Dick's Halfway Inn","1038 Cup Tree Rd",65037,(573) 374-1919,"www.bigdickshalfwayinn.com","n","n","n","n","n","n"
"301","Big Dick's Halfway Inn","1038 Cup Tree Rd",65037,(573) 374-1919,"www.bigdickshalfwayinn.com","n","n","n","n","n","n"
"203","Big E Smalls Pizza","247 S Main St",65037,(573) 374-2443,,"n","n","n","n","n","n"
"402","Big Shot Family Action Park","954 State Road A",65052,(573) 346-6111,,"n","n","n","n","n","n"
"405","Big Surf Waterpark","954 State Road A",65052,(573) 346-6111,"http://bigsurfwaterpark.com/","n","n","n","n","n","n"
"612","Bikini Pier","346 Lakeview Resort Blvd",65079,(573) 374-4890,,"n","n","n","n","n","n"
"710","Bikini Pier at Lakeview Resort","346 Lakeview Resort Blvd",65079,(573) 374-4890,,"n","n","n","n","n","n"
"203","Bill Harpers BBQ Express","601 E Highway 54",65020,(573) 346-1011,,"n","n","n","n","n","n"
"203","Black Bear Lodge Restaurant at Tan-Tar-a","State Route Kk",65065,(573) 348-3131,"http://www.tan-tar-a.com/","n","n","n","n","n","n"
"203","Black Canyon Ale & House","25992 Highway T",65078,(573) 377-4269,,"n","n","n","n","n","n"
"301","Black Canyon Ale & House","25992 Highway T",65078,(573) 377-4269,,"n","n","n","n","n","n"
"102","Blackhawk Inn","25 Blackhawk Estates",65049,(573) 480-6597,"www.blackhawkinn.com/","n","n","n","n","n","n"
"612","Blue Anchor Marina","31634 Millstone Est",65037,(573) 372-6766,,"n","n","n","n","n","n"
"203","Blue Heron","180 Blue Heron Hill Ln",65049,(573) 365-4646,,"n","n","n","n","n","n"
"103","Blue Heron Lodge","1104 Buckridge Rd",65324,(573) 345-0105,"www.blueheronlodgellc.com/","n","n","n","n","n","n"
"612","Blue Moon Marina","5395 Spruce",65065,(573) 348-3178,"http://www.bluemoonmarina.com/","n","n","n","n","n","n"
"710","Blue Moon Marina","5395 Spruce",65065,(573) 348-3178,"http://www.bluemoonmarina.com/","n","n","n","n","n","n"
"203","Boardwalk Grill","401 N Main St",65037,(573) 374-2002,,"n","n","n","n","n","n"
"612","Boat Docs Svc Ctr","221 Forever Dr",65020,(573) 873-3383,,"n","n","n","n","n","n"
"203","Bob Evan's Restaurant","4325 Highway 54",65065,(573) 302-0308,,"n","n","n","n","n","n"
"202","Bobbers","677 Outer Drive",65049,(573) 365-2634,"http://www.alhonna.com/bobbers.htm","n","n","n","n","n","n"
"203","Bobbino's Pizza","14435 N State Highway 7",65324,(573) 347-2308,,"n","n","n","n","n","n"
"203","Bogey's Sports Bar & Restaurant","14005 Redfield Dr",65032,(573) 498-0147,,"n","n","n","n","n","n"
"301","Bogey's Sports Bar & Restaurant","14005 Redfield Dr",65032,(573) 498-0147,,"n","n","n","n","n","n"
"110","Bonaire Resort","732 Bonaire Rd",65020,(573) 346-5248,,"n","n","n","n","n","n"
"203","Bourbon Street Grille at Country Club Hotel","250 Racquet Club Drive",65049,(573) 964-2200,"http://www.countryclubhotel.com/dining.php","n","n","n","n","n","n"
"203","Brass Door Restaurant & Lounge","5167 Hwy 54",65065,(573) 348-9229,"http://www.lakeoftheozarksbars.com/BrassDr.htm","n","n","n","n","n","n"
"301","Brass Door Restaurant & Lounge","5167 Hwy 54",65065,(573) 348-9229,"http://www.lakeoftheozarksbars.com/BrassDr.htm","n","n","n","n","n","n"
"301","Breezes at the Lodge of Four Seasons","315 Four Seasons Dr",65049,(573) 365-3000,"http://4seasonsresort.com/","n","n","n","n","n","n"
"103","Breezy Point Resort","211 Breezy Point Dr",65065,(573) 873-5173,"http://breezypointresortozarks.com/","n","n","n","n","n","n"
"110","Breezy Point Resort","211 Breezy Point Dr",65065,(573) 873-5173,"http://breezypointresortozarks.com/","n","n","n","n","n","n"
"203","Bricks Boat House Restaurant","107 Village Marina Rd",65026,(573) 365-1674,,"n","n","n","n","n","n"
"301","Bricks Boat House Restaurant","107 Village Marina Rd",65026,(573) 365-1674,,"n","n","n","n","n","n"
"601","Bridal Cave/Thunder Mountain Park","526 Bridal Cave Rd",65020,(573) 346-2676,"http://www.bridalcave.com/","n","n","n","n","n","n"
"612","Bridgeport Boat Rentals Inc","5020 Highway 54",65065,(573) 348-2280,"http://bridgeportjetski.com/","n","n","n","n","n","n"
"710","Bridgeport Boat Rentals Inc","5020 Highway 54",65065,(573) 348-2280,"http://bridgeportjetski.com/","n","n","n","n","n","n"
"612","Bridgeview Marina","873 Crow Ln",65065,(573) 302-1360,,"n","n","n","n","n","n"
"110","Bridgeview Resort","873 Crow Ln",65065,(573) 302-1360,,"n","n","n","n","n","n"
"103","Brigantine Holiday Apartments","280 Brownstone Dr",65079,(573) 374-6284,,"n","n","n","n","n","n"
"102","Buck Creek Bed & Breakfast","32907 Buck Creek Acres Rd",65037,(573) 372-1212,"www.buckcreekbb.com/","n","n","n","n","n","n"
"107","Bull Run Bluff Camp Grounds","17 Bull Run Bluff Cir",65020,(573) 346-7815,,"n","n","n","n","n","n"
"203","Bulldog's Beach House","121 Teton Ln.",65020,(573) 873-3311,,"n","n","n","n","n","n"
"301","Bulldog's Beach House","121 Teton Ln.",65020,(573) 873-3311,,"n","n","n","n","n","n"
"203","Burger King","4169 Highway 54",65065,(573) 302-1489,,"n","n","n","n","n","n"
"203","Buzzer's McGee's","108 S Maple St",65026,(573) 392-8811,,"n","n","n","n","n","n"
"203","C J's Family Restaurant","275 W Highway 54",65020,(573) 346-6133,,"n","n","n","n","n","n"
"203","Cactus Rose","113 N Main St",65037,(573) 374-4900,,"n","n","n","n","n","n"
"105","Camdenton Inn","113 E US Highway 54",65020,(573) 346-2256,,"n","n","n","n","n","n"
"713 ","Camdenton Memorial Airport","20 Airport Dr",65020,(573) 346-0300,,"n","n","n","n","n","n"
"301","Camp Bagnell Fish & Steak","401 Old Bagnell Rd",65026,(573) 365-1000,"http://campbagnell.com/","n","n","n","n","n","n"
"203","Camp Bagnell Fish & Steak","401 Old Bagnell Rd",65026,(573) 365-1000,"http://campbagnell.com/","n","n","n","n","n","n"
"710","Captain Bob's Boat Rental","1233 Jeffries Rd",65065,(573) 365-7000,"http://www.lakeozarkboatrental.com/","n","n","n","n","n","n"
"801","Captain Bob's Boat Rental","1233 Jeffries Rd",65065,(573) 365-7000,"http://www.lakeozarkboatrental.com/","n","n","n","n","n","n"
"804","Captain D Charters","105 Den Cove Ln",65049,(573) 216-8141,"http://captain-d-charters.com/","n","n","n","n","n","n"
"801","Captain D Charters","105 Den Cove Ln",65049,(573) 216-8141,"http://captain-d-charters.com/","n","n","n","n","n","n"
"611","Captain Hook's Parasailing","3620 Highway 54",65065,(573) 365-6675,,"n","n","n","n","n","n"
"203","Captain Ron's Bar & Grill","82 Aloha Ln",65079,(573) 374-5852,"www.captainronsatthelake.com","n","n","n","n","n","n"
"301","Captain Ron's Bar & Grill","82 Aloha Ln",65079,(573) 374-5852,"www.captainronsatthelake.com","n","n","n","n","n","n"
"203","Captain's Galley Restaurant","364 Galley Rd",65020,(573) 873-5227,"http://www.captgalley.com/","n","n","n","n","n","n"
"203","Cardinal Cove","621 Central Ozarks Rd",65326,(573) 345-3372,,"n","n","n","n","n","n"
"203","Casa De Loco","442 Riverbird Ln",65020,(573) 317-9696,,"n","n","n","n","n","n"
"105","Casa de Loco Winery","16952 N State Hwy 5",65079,(573) 317-9695,"www.casadelocowinery.com/","n","n","n","n","n","n"
"302","Casa de Loco Winery","16952 N State Hwy 5",65079,(573) 317-9695,"http://www.casadelocowinery.com/","n","n","n","n","n","n"
"203","Casablanca","1312 Bagnell Dam Blvd",65049,(573) 964-5224,,"n","n","n","n","n","n"
"110","Castaway's","228 Castaway Ln",65079,(573) 374-5304,,"n","n","n","n","n","n"
"102","Castleview Bed & Breakfast","3395 State Road D",65065,(573) 346-9818,"www.castleviewbedandbreakfast.com/","n","n","n","n","n","n"
"107","Cat Rock Resort","76 Cat Rock Rd",65026,(573) 365-1310,,"n","n","n","n","n","n"
"110","Cat Rock Resort","76 Cat Rock Rd",65026,(573) 365-1310,,"n","n","n","n","n","n"
"110","Cedar Acres Resort","Route F",65079,(573) 374-5477,,"n","n","n","n","n","n"
"103","Cedar Road Lodge","648 Cedar Road",65049,(816) 918-7774,,"n","n","n","n","n","n"
"801","Celebration Cruises","1150 Lakeshore Dr",65065,(573) 480-3212,"http://celebrationlakeozark.com/","n","n","n","n","n","n"
"804","Celebration Cruises","1150 Lakeshore Dr",65065,(573) 480-3212,"http://celebrationlakeozark.com/","n","n","n","n","n","n"
"203","Celebration Cruises","1150 Lakeshore Dr",65065,(573) 480-3212,"http://celebrationlakeozark.com/","n","n","n","n","n","n"
"203","Chances R","310 S Main St",65037,(573) 374-8770,,"n","n","n","n","n","n"
"203 ","Cheese Steak Jeddy's","4540 Highway 54",65065,(573) 302-7585,,"n","n","n","n","n","n"
"203","Chevy's Bar & Grill","5151 Highway 54",65065,(573) 302-0027,,"n","n","n","n","n","n"
"301","Chevy's Bar & Grill","5151 Highway 54",65065,(573) 302-0027,,"n","n","n","n","n","n"
"203","Chicago Brother's Pizza & Pub","1030 Highway KK",65065,(573) 348-2800,"http://www.lakeoftheozarksbars.com/chibro.htm","n","n","n","n","n","n"
"301","Chicago Brother's Pizza & Pub","1030 Highway KK",65065,(573) 348-2800,"http://www.lakeoftheozarksbars.com/chibro.htm","n","n","n","n","n","n"
"203","Chili's Bar & Grill","3820 Highway 54",65065,(573) 348-1116,,"n","n","n","n","n","n"
"301","Chili's Bar & Grill","3820 Highway 54",65065,(573) 348-1116,,"n","n","n","n","n","n"
"110","Chimney Rock Resort","241 Chimney Rock Rd",65020,(573) 873-5130,,"n","n","n","n","n","n"
"203","China Buffet","112 E Jasper St",65084,(573) 378-9982,,"n","n","n","n","n","n"
"203","China Town Chinese Restaurant","465 W Highway 54",65020,(573) 346-4962,,"n","n","n","n","n","n"
"616","Circle R Stables","492 Moongate Dr",65065,(573) 348-8624,,"n","n","n","n","n","n"
"203","City Grill","5384 Highway 54",65065,(573) 302-0848,"http://www.lakeoftheozarksbars.com/CityGrill.htm","n","n","n","n","n","n"
"301","City Grill","5384 Highway 54",65065,(573) 302-0848,"http://www.lakeoftheozarksbars.com/CityGrill.htm","n","n","n","n","n","n"
"203","City Zoo","70 E Highway H",65567,(417) 286-4500,,"n","n","n","n","n","n"
"203","Classiz Pizza","70 E State Road H ",65567,(417) 286-3382,,"n","n","n","n","n","n"
"102","Cliff House Inn","2183 Carlson Ct",65065,(573) 348-9726,"www.lakecliffhouse.com/","n","n","n","n","n","n"
"203","Climax Café","14502 N State Highway 7",65324,(573) 347-2822,,"n","n","n","n","n","n"
"110","Clover Leaf Bay Resort","1 Shawnee Bend Rd",65079,(573) 374-1038,,"n","n","n","n","n","n"
"203","Clown & Poop Deck","4877 Highway 54",65065,(573) 348-2259,,"n","n","n","n","n","n"
"607","Club at Old Kinderhook","20 Eagle Ridge Rd",65020,(573) 346-4444,,"n","n","n","n","n","n"
"607","Club at Porto Cima","133 Club House Dr",65079,(573) 964-3100,,"n","n","n","n","n","n"
"301","Club Mix","2107 Bagnell Dam Blvd",65049,(573) 365-9793,"http://www.lakeoftheozarksbars.com/ClubMix.htm","n","n","n","n","n","n"
"301","Coconuts Caribbean Beach Bar","15208 Red Hollow Rd",65037,(573) 372-6500,"http://www.coconutsatthelake.com/","n","n","n","n","n","n"
"612","Coffman Marina Inc","632 Quicksilver Dr",65324,(573) 345-3895,,"n","n","n","n","n","n"
"202","Cold Stone Creamery","4540 Hwy 54 Suite A-1",65065,(573) 348-6262,,"n","n","n","n","n","n"
"105 ","Comfort Inn","5885 Highway 54",65065,(573) 348-9555,"http://www.comfortinn.com/ires/en-US/html/HotelInfo?hotel=MO606","n","n","n","n","n","n"
"110","Comfort Inn","5885 Highway 54",65065,(573) 348-9555,"http://www.comfortinn.com/ires/en-US/html/HotelInfo?hotel=MO606","n","n","n","n","n","n"
"203","Construction Site Bar & Grill","473 Highway M",65026,(573) 365-1505,,"n","n","n","n","n","n"
"301","Construction Site Bar & Grill","473 Highway M",65026,(573) 365-1505,,"n","n","n","n","n","n"
"203","Corner House Family Restaurant","408 Business 54",65026,(573) 392-4270,,"n","n","n","n","n","n"
"103","Country Club Hotel & Spa","301 Carol Rd",65049,(573) 964-2200,"www.countryclubhotel.com/","n","n","n","n","n","n"
"105","Country Club Hotel & Spa","301 Carol Rd",65049,(573) 964-2200,"www.countryclubhotel.com/","n","n","n","n","n","n"
"904","Country Club Lanes","401 W 19th St",65026,(573) 392-2331,,"n","n","n","n","n","n"
"110","Country Club Resort","250 Racquet Club Drive",65049,(573) 964-2200,"http://www.countryclubhotel.com/index.php","n","n","n","n","n","n"
"203","Country Club Restaurant-Lounge","250 Racquet Club Drive",65049,(573) 964-2200,"http://www.countryclubhotel.com/index.php","n","n","n","n","n","n"
"301","Country Club Restaurant-Lounge","250 Racquet Club Drive",65049,(573) 964-2200,"http://www.countryclubhotel.com/index.php","n","n","n","n","n","n"
"105","Country Hearth Inn","3513 Highway 54",65065,(573) 365-4566,"www.countryhearthosagebeach.com/","n","n","n","n","n","n"
"203","Cousins","601 N Main St",65037,(573) 374-0922,,"n","n","n","n","n","n"
"203","Cozy Coney Café","1018 Highway KK",65065,(573) 348-3324,,"n","n","n","n","n","n"
"110","Creel Resort","166 Creel Dr",65052,(573) 346-2123,,"n","n","n","n","n","n"
"203","Cree-Mee Freeze","801 S Aurora St",65026,(573) 392-5418,,"n","n","n","n","n","n"
"203","Cricket's Bar & Grill","12142 N State Highway 5",65079,(573) 374-4177,,"n","n","n","n","n","n"
"301","Cricket's Bar & Grill","12142 N State Highway 5",65079,(573) 374-4177,,"n","n","n","n","n","n"
"107","Cross Creek RV Park","41 Old Trail Rd",65026,(573) 365-1211,"http://crosscreekrvpark.com/","n","n","n","n","n","n"
"105","Cross Pointe Hotel","31434 Main St",65072,(573) 365-0600,,"n","n","n","n","n","n"
"203","Crossroads Café & Convenience","630 N State Highway 7",65020,(573) 873-3545,,"n","n","n","n","n","n"
"103","Crystal Water Villas Inc","31683 Pistol Point Loop",65037,(573) 372-3555,"www.crystalwatervillas.com/","n","n","n","n","n","n"
"203","Culver's","5785 Highway 54",65065,(573) 302-0244,"http://culvers.com/","n","n","n","n","n","n"
"710","Cutty's II","440 Passover Rd",65065,(573) 348-6160,,"n","n","n","n","n","n"
"710","Cutty's Wharf","440 Passover Rd",65065,(573) 348-3002,,"n","n","n","n","n","n"
"203","Dairy Queen","619 N State Highway 5",65020,(573) 346-5855,,"n","n","n","n","n","n"
"203","Dairy Queen","151 S Main St",65037,(573) 374-5004,,"n","n","n","n","n","n"
"203","Dam Diner","1080 Bagnell Dam Blvd",65049,(573) 365-5934,,"n","n","n","n","n","n"
"203","Dari Kup","135 S Monroe St",65084,(573) 378-4625,,"n","n","n","n","n","n"
"203","Dave & Manuel's Taco Shop","5838 Highway 54",65065,(573) 348-6060,,"n","n","n","n","n","n"
"612","Dave Mungenast Yacht Club Marina","4815 Windjammer ",65065,(573) 302-8000,,"n","n","n","n","n","n"
"203","Daylight Bakery","14 Valley Rd",65079,(573) 374-0700,,"n","n","n","n","n","n"
"105","Deepwater Inn","11609 N State Highway 5",65079,(573) 374-7228,,"n","n","n","n","n","n"
"110","Deepwater Inn","11609 N State Highway 5",65079,(573) 374-7228,,"n","n","n","n","n","n"
"607 ","Deer Chase Golf Club LLC","770 Deer Chase Rd",65052,(573) 346-6117,"http://deerchasegolf.com/","n","n","n","n","n","n"
"107","Deer Valley Park","1028 Deer Valley Rd",65079,(573) 374-5277,"www.deervalleypark.com","n","n","n","n","n","n"
"203","Dempsey's Steak House","2079 State Road Y",65052,(573) 346-1141,,"n","n","n","n","n","n"
"203","Denny's ","3499 Bagnell Dam Blvd",65049,(573) 365-4980,,"n","n","n","n","n","n"
"203","Der Essen Platz","8 Bridal Cave Rd",65020,(573) 346-1122,,"n","n","n","n","n","n"
"107","Der Vater's Edge RV Park","15 Der Vaters Dr",65020,(573) 346-5230,,"n","n","n","n","n","n"
"612","Der Vater's Edge RV Park","15 Der Vaters Dr",65020,(573) 346-5230,,"n","n","n","n","n","n"
"203","Dinnerbell Restaurant","911 S Aurora St",65026,(573) 392-0101,,"n","n","n","n","n","n"
"203","Dirty Dock Bar & Grill","199 Warf Pl",65020,(573) 873-0666,,"n","n","n","n","n","n"
"301","Dirty Dock Bar & Grill","199 Warf Pl",65020,(573) 873-0666,,"n","n","n","n","n","n"
"301","Docknockers Beachbar & Grill","700 Crow Road",65049,(573) 365-6899,"http://www.docknockers.com/","n","n","n","n","n","n"
"203","Docknockers Beachbar & Grill","700 Crow Road",65049,(573) 365-6899,"http://www.docknockers.com/","n","n","n","n","n","n"
"203","Dog Days Bar & Grill","1232 Jeffries Rd",65065,(573) 348-9797,"http://dogdays.ws/","n","n","n","n","n","n"
